Goal,Set,Subset,Alg,Learned?,Link
ZBLL,U,Diag,S' R' U' R S R' U F' U' F U R,TRUE,google.com
ZBLL,U,Diag,(U') R U B' R B R2 S' R U' R' S,TRUE,google.com
ZBLL,U,Diag,R' U2 R F U' R' U' R U F',TRUE,google.com
ZBLL,U,Diag,(U') F U' R' U R U F' R' U2 R,TRUE,google.com
ZBLL,U,Diag,"R' F' M U' M' F M U r
(U2) R B M' U M B' M' U' r'",TRUE,google.com
ZBLL,U,Diag,(U2) M U' M' F U R U' R' F' M U M',TRUE,google.com
ZBLL,U,Diag,(U2) R' U' F' U F U' R S' R' U R S,TRUE,google.com
ZBLL,U,Diag,(U') R' U' F R' F' R2 S' R' U R S,TRUE,google.com
ZBLL,U,Diag,"L U2 L' F' U L U L' U' F
(U2) R U2 R' B' U R U R' U' B",TRUE,google.com
ZBLL,U,Diag,"(U) F' U L U' L' U' F L U2 L'
(U') B' U R U' R' U' B R U2 R'",TRUE,google.com
ZBLL,U,Diag,"(U2) f U2 R2 U2 R2 U' S R2 S' U' R2 f'
F U R U2 R' U R U R' U R U2 R' U R U R' F'",TRUE,google.com
ZBLL,U,Diag,M U' M' F R U R' U' F' M U M',TRUE,google.com
ZBLL,U,Bars,"F U R U' R' S U f' R' f R U' R' f' R
(U) R U2 r' F M' U' R U2 r' F R' F r",TRUE,google.com
ZBLL,U,Bars,"(U) F R' F' R F2 L F L' F U' R U R' 
R f' U' f R2 F R F' R U' f R f'",TRUE,google.com
ZBLL,U,Bars,(U2) R2' F2 R F2' R U' R' U r' F r U' R,TRUE,google.com
ZBLL,U,Bars,(U') F U R2 D' R U' R' D R2 F' R' U R,TRUE,google.com
ZBLL,U,Bars,(U') S' R2 F R F' R U2 R' F' U2 F R S,TRUE,google.com
ZBLL,U,Bars,"(U2) S' R B U2 B' R' U2 R B' R B R2 S 
(U2) S' R B U2 B' R' U2 R U R2 F R F' U' S",TRUE,google.com
ZBLL,U,Bars,"R' F' r U2 R B U B' r' S' r U2 r' f
f R' F2 R S' R' U' F U r U2 R U' r' (U) R' B2 R2 U R' U R U' R2 B2 R U2 R U R'",TRUE,google.com
ZBLL,U,Bars,(U') F' U F U' R B' R B R2 F R' F' R (U') F' L F L' F2 R' F' R F' U L' U' L,TRUE,google.com
ZBLL,U,Bars,x' R2 U2 R' U2 R' F R F' r U' r' F R' x,TRUE,google.com
ZBLL,U,Bars,(U') R' U' R F R2 D' R U R' D R2 U' F',TRUE,google.com
ZBLL,U,Bars,(U') S' R2 B' R' B R' U2 R B U2 B' R' S (U') S' U F R' F' R2 U' R' U2 R B U2 B' R' S,TRUE,google.com
ZBLL,U,Bars,"S' R' F' U2 F R U2 R' F R' F' R2 S
(U) F U R U2 R' U R U R2 F' r U R U' r'",TRUE,google.com
ZBLL,U,Checkers,"(U2) x R2 D2 R U2 R' D2 R U2 R x'
(U2) R' F2 R U2 R U2 R' F2 R U2 R'",TRUE,google.com
ZBLL,U,Checkers,"R U R' U R U' R' U2 R' D' R U2 R' D R2 U' R' 
(U) B U' B' R' f' R U R' S U' R' F R2",TRUE,google.com
ZBLL,U,Checkers,"R F U' R' U' R U2 R' U' R F' R'
(U2) r D B' r' U' r B2 r' U' r D' r'",TRUE,google.com
ZBLL,U,Checkers,(U) R U R' U R U' R U' r' F R' F' M',TRUE,google.com
ZBLL,U,Checkers,R' U' R F U' R' U' R U F' U R' U R,TRUE,google.com
ZBLL,U,Checkers,F R U' R' U R U R' U R U' R' F',TRUE,google.com
ZBLL,U,Checkers,"x' R2 D2 R' U2 R D2 R' U2 R' x
R B2 R' U2 R' U2 R B2 R' U2 R",TRUE,google.com
ZBLL,U,Checkers,"(U) F' U F R b R' U' R S U R B' R2 (U') B' U B L f L' U' L S' U L F' L2
(U') F U2 S R S' R' U R F' r' U F' U' r
R' U F' r' U' F' R F R' F' U M' F R2",TRUE,google.com
ZBLL,U,Checkers,"(U2) R' B' U R U R' U2 R U R' B R
r' D' F r U r' F2 r U r' D r",TRUE,google.com
ZBLL,U,Checkers,(U) R' U' R U' R' U R' U r f' U f M,TRUE,google.com
ZBLL,U,Checkers,"L U L' F' U L U L' U' F U' L U' L'
(U2) R U R' B' U R U R' U' B U' R U' R'
(U2) R U R' f' L U L U' L' f U' R U' R'",TRUE,google.com
ZBLL,U,Checkers,"(U') F2 U' R' F r2 U R2 F R U' M2 F
standard inverse",TRUE,google.com
ZBLL,U,Slash,(U2) R2 D R' U2 R D' R' U2 R',TRUE,google.com
ZBLL,U,Slash,(U2) R2 D r' U2 r D' R' U2 R',TRUE,google.com
ZBLL,U,Slash,(U) R U R2 D' R U R' D R2 U2 R',TRUE,google.com
ZBLL,U,Slash,"(U2) F U' f' U' F R U R' U R U' R' F' U S R' U' R U R U R' U' R' U F R U R U' R' F'
(U) R U' r' D' F r U R' U R U' r' F' D M'
(U2) F' U2 R' U' R F U' R' U2 R F' U2 F",TRUE,google.com
ZBLL,U,Slash,"(U') F U2 R' U' R F' R' U2 F U F' U' R

+F+ U2 (R' U' R) -F'- (R' U2) 
xF U F' U' Rx",TRUE,google.com
ZBLL,U,Slash,"(R U R') F' U' F2 (D R' U R' U' R D') F' 
R S' U' R' U' R U' S R' F D R2 D' F'",TRUE,google.com
ZBLL,U,Slash,(U) F R' F' U' F R S U R2 U' R' f' R F' U' R' F U r F R' F' r' F' R F,TRUE,google.com
ZBLL,U,Slash,"(U) R U B2 U2 B2 R2 D' R U' R2 D R2 
(U') R U R' U R U' R' U F' R U2 R' U2 R' F R",TRUE,google.com
ZBLL,U,Slash,"(U2) S R2 S' D R' U2 R D' R U2 R2 U2 R 
(U) F' M U2 M' F M U R' D' R U R' D r",TRUE,google.com
ZBLL,U,Slash,(U2) S R U' R' U' F' U2 F U R U' R' S',TRUE,google.com
