,Goal,Set,Subset,Alg,learned,link,title,image_url
10,ZBLL,T,horizontal,(U2) F R U R2' F2 D' F' D F' R U' F',True,google.com,Zbll T Horizontal: (U2) F R U R2' F2 D' F' D F' R U' F',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) F R U R2' F2 D' F' D F' R U' F'
11,ZBLL,T,horizontal,(U') R' U' R2 U R2 U R2 U2 R' U R' U R,True,google.com,Zbll T Horizontal: (U') R' U' R2 U R2 U R2 U2 R' U R' U R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') R' U' R2 U R2 U R2 U2 R' U R' U R
12,ZBLL,T,vertical,(U') R U' R2 D' r U2 r' D R2 U R',True,google.com,Zbll T Vertical: (U') R U' R2 D' r U2 r' D R2 U R',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') R U' R2 D' r U2 r' D R2 U R'
13,ZBLL,T,vertical,R U2 M' U R' U' F' U2 F r' F R F' ,True,google.com,Zbll T Vertical: R U2 M' U R' U' F' U2 F r' F R F' ,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=R U2 M' U R' U' F' U2 F r' F R F' 
14,ZBLL,T,vertical,(U') R' U F' R' U2 R U2 F U' R' U R2,True,google.com,Zbll T Vertical: (U') R' U F' R' U2 R U2 F U' R' U R2,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') R' U F' R' U2 R U2 F U' R' U R2
15,ZBLL,T,vertical,R2 U' R U F' U2 R' U2 R F U' R,True,google.com,Zbll T Vertical: R2 U' R U F' U2 R' U2 R F U' R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=R2 U' R U F' U2 R' U2 R F U' R
16,ZBLL,T,vertical,r B' R' B r2' F R F' r U R' U2 R,True,google.com,Zbll T Vertical: r B' R' B r2' F R F' r U R' U2 R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=r B' R' B r2' F R F' r U R' U2 R
17,ZBLL,T,vertical,(U) R' UD' R U2 R' D R' U' R U2 R' U' R2,True,google.com,Zbll T Vertical: (U) R' UD' R U2 R' D R' U' R U2 R' U' R2,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) R' UD' R U2 R' D R' U' R U2 R' U' R2
18,ZBLL,T,vertical,(U) R' U R2 D r' U2 r D' R2 U' R,True,google.com,Zbll T Vertical: (U) R' U R2 D r' U2 r D' R2 U' R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) R' U R2 D r' U2 r D' R2 U' R
19,ZBLL,T,vertical,F R' F' r F' U2 F U R U' M U2 R' ,True,google.com,Zbll T Vertical: F R' F' r F' U2 F U R U' M U2 R' ,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=F R' F' r F' U2 F U R U' M U2 R' 
20,ZBLL,T,vertical,(U') R2 U' R D R' U' R D' R U R2 U R2 (U) L U' F L U2 L' U2 F' U L U' L2,True,google.com,Zbll T Vertical: (U') R2 U' R D R' U' R D' R U R2 U R2 (U) L U' F L U2 L' U2 F' U L U' L2,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') R2 U' R D R' U' R D' R U R2 U R2 (U) L U' F L U2 L' U2 F' U L U' L2
21,ZBLL,T,vertical,(U) F U R' D' r U2 r' D R2 U' R' U F',True,google.com,Zbll T Vertical: (U) F U R' D' r U2 r' D R2 U' R' U F',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) F U R' D' r U2 r' D R2 U' R' U F'
22,ZBLL,T,vertical,(U2) R' F2 U2 F R U2 r U' r' F U2 R' F U2 R,True,google.com,Zbll T Vertical: (U2) R' F2 U2 F R U2 r U' r' F U2 R' F U2 R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) R' F2 U2 F R U2 r U' r' F U2 R' F U2 R
23,ZBLL,T,vertical,(U') R DU' R' U2 R D' R U R' U2 R U R2,True,google.com,Zbll T Vertical: (U') R DU' R' U2 R D' R U R' U2 R U R2,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') R DU' R' U2 R D' R U R' U2 R U R2
24,ZBLL,T,front,(U2) R U' R' U2 L R U' R' U L',True,google.com,Zbll T Front: (U2) R U' R' U2 L R U' R' U L',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) R U' R' U2 L R U' R' U L'
25,ZBLL,T,front,(U2) F R U' R' S U' R U f' U R2' F R F' R,True,google.com,Zbll T Front: (U2) F R U' R' S U' R U f' U R2' F R F' R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) F R U' R' S U' R U f' U R2' F R F' R
26,ZBLL,T,front,(U) R' F R' F' R2 U' R' U R f R' f',True,google.com,Zbll T Front: (U) R' F R' F' R2 U' R' U R f R' f',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) R' F R' F' R2 U' R' U R f R' f'
27,ZBLL,T,front,F' U L U2 L' U' F L U L' U' L U' L',True,google.com,Zbll T Front: F' U L U2 L' U' F L U L' U' L U' L',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=F' U L U2 L' U' F L U L' U' L U' L'
28,ZBLL,T,front,(U2) R' U' R U' R' U R F U' R' U2 R U F',True,google.com,Zbll T Front: (U2) R' U' R U' R' U R F U' R' U2 R U F',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) R' U' R U' R' U R F U' R' U2 R U F'
29,ZBLL,T,front,r' U2 R U R2 F2 R F R' F2 R U r ,True,google.com,Zbll T Front: r' U2 R U R2 F2 R F R' F2 R U r ,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=r' U2 R U R2 F2 R F R' F2 R U r 
30,ZBLL,T,front,R' U R U2 L' R' U R U' L,True,google.com,Zbll T Front: R' U R U2 L' R' U R U' L,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=R' U R U2 L' R' U R U' L
31,ZBLL,T,front,(U2) F' r2 U2 R' F' R U2 r' U r',True,google.com,Zbll T Front: (U2) F' r2 U2 R' F' R U2 r' U r',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) F' r2 U2 R' F' R U2 r' U r'
32,ZBLL,T,front,(U) R U R2 F R F' R U' R' F' U F,True,google.com,Zbll T Front: (U) R U R2 F R F' R U' R' F' U F,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) R U R2 F R F' R U' R' F' U F
33,ZBLL,T,front,F U' R' U2 R U F' R' U' R U R' U R,True,google.com,Zbll T Front: F U' R' U2 R U F' R' U' R U R' U R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=F U' R' U2 R U F' R' U' R U R' U R
34,ZBLL,T,front,R' F R U2 M' U r' F' R U' F U' F',True,google.com,Zbll T Front: R' F R U2 M' U r' F' R U' F U' F',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=R' F R U2 M' U r' F' R U' F U' F'
35,ZBLL,T,front,(U2) R' F' r' F2 r U' r' F2 r2 U' r' F2 R,True,google.com,Zbll T Front: (U2) R' F' r' F2 r U' r' F2 r2 U' r' F2 R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) R' F' r' F2 r U' r' F2 r2 U' r' F2 R
36,ZBLL,T,back,(U') x R' U2 R' D2 R U2 R' D2 R2 x',True,google.com,Zbll T Back: (U') x R' U2 R' D2 R U2 R' D2 R2 x',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') x R' U2 R' D2 R U2 R' D2 R2 x'
37,ZBLL,T,back,(U') R2 F' R U S' R U' R' f R B U B',True,google.com,Zbll T Back: (U') R2 F' R U S' R U' R' f R B U B',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') R2 F' R U S' R U' R' f R B U B'
38,ZBLL,T,back,(U2) r' D' r U' r' F2 r U' r' F' D r,True,google.com,Zbll T Back: (U2) r' D' r U' r' F2 r U' r' F' D r,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) r' D' r U' r' F2 r U' r' F' D r
39,ZBLL,T,back,(U2) M F R F' r U R' U R' U' R U' R',True,google.com,Zbll T Back: (U2) M F R F' r U R' U R' U' R U' R',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) M F R F' r U R' U R' U' R U' R'
40,ZBLL,T,back,(U) R' U' R U' F U' R' U R U F' R' U R,True,google.com,Zbll T Back: (U) R' U' R U' F U' R' U R U F' R' U R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) R' U' R U' F U' R' U R U F' R' U R
41,ZBLL,T,back,(U2) F R U R' U' R U' R' U' R U R' F',True,google.com,Zbll T Back: (U2) F R U R' U' R U' R' U' R U R' F',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) F R U R' U' R U' R' U' R U R' F'
42,ZBLL,T,back,(U') x' R U2 R D2 R' U2 R D2 R2 x,True,google.com,Zbll T Back: (U') x' R U2 R D2 R' U2 R D2 R2 x,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') x' R U2 R D2 R' U2 R D2 R2 x
43,ZBLL,T,back,(U) R2 F' R U' r' F2 R F R' F2 M' F R2 ,True,google.com,Zbll T Back: (U) R2 F' R U' r' F2 R F R' F2 M' F R2 ,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) R2 F' R U' r' F2 R F R' F2 M' F R2 
44,ZBLL,T,back,(U2) R F R' U R U2 R' U R U F' R',True,google.com,Zbll T Back: (U2) R F R' U R U2 R' U R U F' R',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) R F R' U R U2 R' U R U F' R'
45,ZBLL,T,back,M' f' U' f r' U' R U' R U R' U R,True,google.com,Zbll T Back: M' f' U' f r' U' R U' R U R' U R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=M' f' U' f r' U' R U' R U R' U R
46,ZBLL,T,back,(U') L U L' U F' U L U' L' U' F L U' L',True,google.com,Zbll T Back: (U') L U L' U F' U L U' L' U' F L U' L',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') L U L' U F' U L U' L' U' F L U' L'
47,ZBLL,T,back,F' M2 U R' F' R2 U' r2 F' R U F2,True,google.com,Zbll T Back: F' M2 U R' F' R2 U' r2 F' R U F2,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=F' M2 U R' F' R2 U' r2 F' R U F2
48,ZBLL,T,Right,R' F' r U R U' r' F,True,google.com,Zbll T Right: R' F' r U R U' r' F,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=R' F' r U R U' r' F
49,ZBLL,T,Right,(U) R' U' R' D' R U' M' U2 r' D R2',True,google.com,Zbll T Right: (U) R' U' R' D' R U' M' U2 r' D R2',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) R' U' R' D' R U' M' U2 r' D R2'
50,ZBLL,T,Right,R U R' U' R' F' R U2 R U2 R' F,True,google.com,Zbll T Right: R U R' U' R' F' R U2 R U2 R' F,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=R U R' U' R' F' R U2 R U2 R' F
51,ZBLL,T,Right,F U R U2 R' U R U R' F',True,google.com,Zbll T Right: F U R U2 R' U R U R' F',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=F U R U2 R' U R U R' F'
52,ZBLL,T,Right,(U') R U R' U' R' U' F R f' R' U R S,True,google.com,Zbll T Right: (U') R U R' U' R' U' F R f' R' U R S,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') R U R' U' R' U' F R f' R' U R S
53,ZBLL,T,Right,(U2) R' U' S' R U R' S R2 f' U' f,True,google.com,Zbll T Right: (U2) R' U' S' R U R' S R2 f' U' f,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) R' U' S' R U R' S R2 f' U' f
54,ZBLL,T,Right,(U') R' U2 R F U' R' U R U F' R' U R,True,google.com,Zbll T Right: (U') R' U2 R F U' R' U R U F' R' U R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') R' U2 R F U' R' U R U F' R' U R
55,ZBLL,T,Right,(U) S R U' R2 U B' U' R2 U B R' S',True,google.com,Zbll T Right: (U) S R U' R2 U B' U' R2 U B R' S',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) S R U' R2 U B' U' R2 U B R' S'
56,ZBLL,T,Right,(U2) F U R' U' R F' R' U' R U R' U R,True,google.com,Zbll T Right: (U2) F U R' U' R F' R' U' R U R' U R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) F U R' U' R F' R' U' R U R' U R
57,ZBLL,T,Right,(U) F R' U' R2 F R' F' U R B' R2 U F' U' f z',True,google.com,Zbll T Right: (U) F R' U' R2 F R' F' U R B' R2 U F' U' f z',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) F R' U' R2 F R' F' U R B' R2 U F' U' f z'
58,ZBLL,T,Right,(U') F' U f U2 R U2 R' U2 S',True,google.com,Zbll T Right: (U') F' U f U2 R U2 R' U2 S',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') F' U f U2 R U2 R' U2 S'
59,ZBLL,T,Right,(U) M' U r' U' R U R f' U' f M' U' M,True,google.com,Zbll T Right: (U) M' U r' U' R U R f' U' f M' U' M,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) M' U r' U' R U R f' U' f M' U' M
60,ZBLL,T,Left,r U R' U' r' F R F',True,google.com,Zbll T Left: r U R' U' r' F R F',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=r U R' U' r' F R F'
61,ZBLL,T,Left,(U') R' U' R S U R U' S' U R' F R F',True,google.com,Zbll T Left: (U') R' U' R S U R U' S' U R' F R F',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') R' U' R S U R U' S' U R' F R F'
62,ZBLL,T,Left,R U2 R' U2 R' F R U R U' R' F',True,google.com,Zbll T Left: R U2 R' U2 R' F R U R U' R' F',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=R U2 R' U2 R' F R U R U' R' F'
63,ZBLL,T,Left,F' U' L' U2 L U' L' U' L F,True,google.com,Zbll T Left: F' U' L' U2 L U' L' U' L F,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=F' U' L' U2 L U' L' U' L F
64,ZBLL,T,Left,(U') R' U' R U R U f' U' F R U' R' S,True,google.com,Zbll T Left: (U') R' U' R U R U f' U' F R U' R' S,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') R' U' R U R U f' U' F R U' R' S
65,ZBLL,T,Left,R U S' R' U' R S R2 F R F',True,google.com,Zbll T Left: R U S' R' U' R S R2 F R F',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=R U S' R' U' R S R2 F R F'
66,ZBLL,T,Left,(U) L U2 L' F' U L U' L' U' F L U' L',True,google.com,Zbll T Left: (U) L U2 L' F' U L U' L' U' F L U' L',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) L U2 L' F' U L U' L' U' F L U' L'
67,ZBLL,T,Left,(U) S R' U R2 U' F U R2 U' F' R S',True,google.com,Zbll T Left: (U) S R' U R2 U' F U R2 U' F' R S',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) S R' U R2 U' F U R2 U' F' R S'
68,ZBLL,T,Left,(U') M F R' F' r U R U R' U' R U' R',True,google.com,Zbll T Left: (U') M F R' F' r U R U R' U' R U' R',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') M F R' F' r U R U R' U' R U' R'
69,ZBLL,T,Left,(U2) F R' U' R2 F R' F' U l U' R2 U F u' z' ,True,google.com,Zbll T Left: (U2) F R' U' R2 F R' F' U l U' R2 U F u' z' ,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) F R' U' R2 F R' F' U l U' R2 U F u' z' 
70,ZBLL,T,Left,(U') f R' F' U2 R' U2 R U2 S',True,google.com,Zbll T Left: (U') f R' F' U2 R' U2 R U2 S',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') f R' F' U2 R' U2 R U2 S'
71,ZBLL,T,Left,(U) M U' r U R' U' R' F R F' M U M',True,google.com,Zbll T Left: (U) M U' r U R' U' R' F R F' M U M',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) M U' r U R' U' R' F R F' M U M'
72,ZBLL,U,CP Solved,(U) F' R F R2 D' R U R' D R2 F' R' F,True,google.com,Zbll U Cp Solved: (U) F' R F R2 D' R U R' D R2 F' R' F,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) F' R F R2 D' R U R' D R2 F' R' F
73,ZBLL,U,CP Solved,(U2) R U R' U R U2 R2' U' R U' R' U2 R,True,google.com,Zbll U Cp Solved: (U2) R U R' U R U2 R2' U' R U' R' U2 R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) R U R' U R U2 R2' U' R U' R' U2 R
74,ZBLL,U,CP Solved,(U') R U R' U' R U' R' U2 R U' R' U2 R U R',True,google.com,Zbll U Cp Solved: (U') R U R' U' R U' R' U2 R U' R' U2 R U R',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') R U R' U' R U' R' U2 R U' R' U2 R U R'
75,ZBLL,U,CP Solved,(U) R' U' F R' F' R2 U' R' U F' U F R,True,google.com,Zbll U Cp Solved: (U) R' U' F R' F' R2 U' R' U F' U F R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) R' U' F R' F' R2 U' R' U F' U F R
76,ZBLL,U,CP Solved,(U) R U2 R' U' R U' R' U' R U R' U R U2 R',True,google.com,Zbll U Cp Solved: (U) R U2 R' U' R U' R' U' R U R' U R U2 R',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) R U2 R' U' R U' R' U' R U R' U R U2 R'
77,ZBLL,U,CP Solved,L U F U' R U' R' U R' F R F2 L' ,True,google.com,Zbll U Cp Solved: L U F U' R U' R' U R' F R F2 L' ,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=L U F U' R U' R' U R' F R F2 L' 
78,ZBLL,U,CP Solved,(U2) x R2 D2 R U R' D2 R2 D' R' U' R D x',True,google.com,Zbll U Cp Solved: (U2) x R2 D2 R U R' D2 R2 D' R' U' R D x',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) x R2 D2 R U R' D2 R2 D' R' U' R D x'
79,ZBLL,U,CP Solved,R' U' R U' R' U2 R2 U R' U R U2 R',True,google.com,Zbll U Cp Solved: R' U' R U' R' U2 R2 U R' U R U2 R',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=R' U' R U' R' U2 R2 U R' U R U2 R'
80,ZBLL,U,CP Solved,(U') R' U' R U R' U R U2 R' U R U2 R' U' R,True,google.com,Zbll U Cp Solved: (U') R' U' R U R' U R U2 R' U R U2 R' U' R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') R' U' R U R' U R U2 R' U R U2 R' U' R
81,ZBLL,U,CP Solved,(U) R U2' R2' F R F' R U' B U' B' R' ,True,google.com,Zbll U Cp Solved: (U) R U2' R2' F R F' R U' B U' B' R' ,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) R U2' R2' F R F' R U' B U' B' R' 
82,ZBLL,U,CP Solved,(U) R' U2 R U R' U R U R' U' R U' R' U2 R,True,google.com,Zbll U Cp Solved: (U) R' U2 R U R' U R U R' U' R U' R' U2 R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) R' U2 R U R' U R U R' U' R U' R' U2 R
83,ZBLL,U,CP Solved,R' U' F' U L' U L U' L F' L' F2 R ,True,google.com,Zbll U Cp Solved: R' U' F' U L' U L U' L F' L' F2 R ,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=R' U' F' U L' U L U' L F' L' F2 R 
84,ZBLL,U,Diag,S' R' U' R S R' U F' U' F U R,True,google.com,Zbll U Diag: S' R' U' R S R' U F' U' F U R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=S' R' U' R S R' U F' U' F U R
85,ZBLL,U,Diag,(U') R U B' R B R2 S' R U' R' S,True,google.com,Zbll U Diag: (U') R U B' R B R2 S' R U' R' S,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') R U B' R B R2 S' R U' R' S
86,ZBLL,U,Diag,R' U2 R F U' R' U' R U F',True,google.com,Zbll U Diag: R' U2 R F U' R' U' R U F',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=R' U2 R F U' R' U' R U F'
87,ZBLL,U,Diag,(U') F U' R' U R U F' R' U2 R,True,google.com,Zbll U Diag: (U') F U' R' U R U F' R' U2 R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') F U' R' U R U F' R' U2 R
88,ZBLL,U,Diag,R' F' M U' M' F M U r,True,google.com,Zbll U Diag: R' F' M U' M' F M U r,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=R' F' M U' M' F M U r
89,ZBLL,U,Diag,(U2) M U' M' F U R U' R' F' M U M',True,google.com,Zbll U Diag: (U2) M U' M' F U R U' R' F' M U M',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) M U' M' F U R U' R' F' M U M'
90,ZBLL,U,Diag,(U2) R' U' F' U F U' R S' R' U R S,True,google.com,Zbll U Diag: (U2) R' U' F' U F U' R S' R' U R S,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) R' U' F' U F U' R S' R' U R S
91,ZBLL,U,Diag,(U') R' U' F R' F' R2 S' R' U R S,True,google.com,Zbll U Diag: (U') R' U' F R' F' R2 S' R' U R S,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') R' U' F R' F' R2 S' R' U R S
92,ZBLL,U,Diag,L U2 L' F' U L U L' U' F,True,google.com,Zbll U Diag: L U2 L' F' U L U L' U' F,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=L U2 L' F' U L U L' U' F
93,ZBLL,U,Diag,(U) F' U L U' L' U' F L U2 L',True,google.com,Zbll U Diag: (U) F' U L U' L' U' F L U2 L',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) F' U L U' L' U' F L U2 L'
